Year Type Name MonthlySalary AnnualSales/StockPrice
2014 Employee Adewole,Adefunke 2000 
2015 Employee Adewole,Adefunke 2250 
2014 Salesman Berrios,Eric 2600 87000
2015 Salesman Berrios,Eric 2750 105000
2014 Executive Cerdeira,Nicholas 5000 55
2015 Executive Cerdeira,Nicholas 5600 49
2014 Employee Deir,Nicholas 1700 
2015 Employee Deir,Nicholas 2300 
2014 Salesman Edwards,Thomas 2650 92000
2015 Salesman Edwards,Thomas 2950 100000
2014 Executive Fisher,Nathan 4200 55
2015 Executive Fisher,Nathan 4400 49
2014 Employee Hall,Walda 1900 
2015 Employee Hall,Walda 2350 
2014 Salesman Julian,Joseph 2500 68000
2015 Salesman Julian,Joseph 3100 72000
2014 Executive Martinez,Jonathan 4300 55
2015 Executive Martinez,Jonathan 4450 49
2014 Employee Mulkay,Travis 3300 
2015 Employee Mulkay,Travis 3650 
